,source_video_name,top,left,right,bottom,camera,experiment,animal
0,e3v813a-20220131T174814-181650,200,0,460,0,e3v813a,Overnight Videos,Animal 1
1,e3v813a-20220201T195224-202053,200,0,460,0,e3v813a,Overnight Videos,Animal 2
2,e3v813a-20220202T210531-213427,200,0,460,0,e3v813a,Overnight Videos,Animal 3
3,e3v813a-20220207T235112-002017,200,0,460,0,e3v813a,Overnight Videos,Animal 4
4,e3v813a-20220208T163226-170048,200,0,460,0,e3v813a,Overnight Videos,Animal 5
5,e3v813a-20220209T224430-231859,200,0,460,0,e3v813a,Overnight Videos,Animal 6
6,e3v813a-20220210T161305-164149,200,0,460,0,e3v813a,Overnight Videos,Animal 7
7,e3v82a9-20220309T163452-163953,150,100,480,150,e3v82a9,Overnight Videos,Animal 8
8,e3v813a-20220309T214547-215059,200,100,400,0,e3v813a,Overnight Videos,Animal 9
9,e3v816b-20220309T183512-184012,180,430,0,0,e3v816b,Overnight Videos,Animal 10
10,e3v813a-20220314T190434-190952,200,100,400,0,e3v813a,Overnight Videos,Animal 13
11,e3v82a9-20220314T203452-204006,150,100,480,150,e3v82a9,Overnight Videos,Animal 12
12,e3v816b-20220314T200947-201450,180,430,0,0,e3v816b,Overnight Videos,Animal 14
13,e3v829e-20220309T201028-201533,100,450,150,150,e3v829e,Overnight Videos,Animal 11
14,e3v829e-20220314T185934-190451,100,450,150,150,e3v829e,Overnight Videos,Animal 15
15,e3v82a9-20220309T163452-163953,150,100,480,150,e3v82a9,Overnight Videos LSD,Animal 1
16,e3v813a-20220309T214547-215059,200,100,400,0,e3v813a,Overnight Videos LSD,Animal 2
17,e3v816b-20220309T183512-184012,180,430,0,0,e3v816b,Overnight Videos LSD,Animal 3
18,e3v829e-20220314T185934-190451,100,450,150,150,e3v829e,Overnight Videos LSD,Animal 4
19,e3v82a9-20220314T203452-204006,150,100,480,150,e3v82a9,Overnight Videos LSD,Animal 5
20,e3v813a-20220314T190434-190952,200,100,400,0,e3v813a,Overnight Videos LSD,Animal 6
21,e3v816b-20220314T200947-201450,180,430,0,0,e3v816b,Overnight Videos LSD,Animal 7
22,e3v829e-20220309T201028-201533,100,450,150,150,e3v829e,Overnight Videos LSD,Animal 8